,Ticker,Date,variable,Value
15297,ADRO,2016-08-08,Low,1140
15298,ADRO,2016-08-09,Low,1155
15299,ADRO,2016-08-10,Low,1140
15300,ADRO,2016-08-11,Low,1085
15301,ADRO,2016-08-12,Low,1110
15302,ADRO,2016-08-15,Low,1105
15303,ADRO,2016-08-16,Low,1110
15304,ADRO,2016-08-18,Low,1150
15305,ADRO,2016-08-19,Low,1100
15306,ADRO,2016-08-22,Low,1100
15307,ADRO,2016-08-23,Low,1065
15308,ADRO,2016-08-24,Low,1055
15309,ADRO,2016-08-25,Low,1055
15310,ADRO,2016-08-26,Low,1065
15311,ADRO,2016-08-29,Low,1050
15312,ADRO,2016-08-30,Low,1070
15313,ADRO,2016-08-31,Low,1140
15314,ADRO,2016-09-01,Low,1135
15315,ADRO,2016-09-02,Low,1160
15316,ADRO,2016-09-05,Low,1180
15317,ADRO,2016-09-06,Low,1215
15318,ADRO,2016-09-07,Low,1205
15319,ADRO,2016-09-08,Low,1215
15320,ADRO,2016-09-09,Low,1230
15321,ADRO,2016-09-13,Low,1150
15322,ADRO,2016-09-14,Low,1105
15323,ADRO,2016-09-15,Low,1115
15324,ADRO,2016-09-16,Low,1155
15325,ADRO,2016-09-19,Low,1180
15326,ADRO,2016-09-20,Low,1165
15327,ADRO,2016-09-21,Low,1160
15328,ADRO,2016-09-22,Low,1185
15329,ADRO,2016-09-23,Low,1190
15330,ADRO,2016-09-26,Low,1190
15331,ADRO,2016-09-27,Low,1185
15332,ADRO,2016-09-28,Low,1175
15333,ADRO,2016-09-29,Low,1230
15334,ADRO,2016-09-30,Low,1205
15335,ADRO,2016-10-03,Low,1250
15336,ADRO,2016-10-04,Low,1305
15337,ADRO,2016-10-05,Low,1280
15338,ADRO,2016-10-06,Low,1315
15339,ADRO,2016-10-07,Low,1335
15340,ADRO,2016-10-10,Low,1345
15341,ADRO,2016-10-11,Low,1375
15342,ADRO,2016-10-12,Low,1385
15343,ADRO,2016-10-13,Low,1405
